smiles_canonical,qm_q_ionizableN,qm_dipole_D,qm_polarizability,qm_homo_lumo_eV,qm_dGsolv_kJmol,qm_dGsolv_head,qm_dGsolv_tail,qm_Ehedup
CC(C)CCCC(C)COc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCC(C)CCCC(C)C)cc(OCC(C)CCCC(C)C)c2)cc(OCC(C)CCCC(C)C)c1,-0.18491426,16.144,1206.34776,1.26903715,-159.85888050838383,,-159.84230917406452,-548.6537757565234
CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,-0.19678935,3.668,639.044972,2.95038516,-73.17455362044662,-67.43434268027198,-43.53472963567578,-489.50413156307303
CCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,-0.18990904,3.86,497.600993,2.92355003,-49.04589935264729,-54.59613903464842,-22.801368851351853,-487.241187202918
CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,-0.19410509,6.078,416.257982,2.68124348,-64.60206562896343,-67.43434268027198,-19.942508781999777,-491.73522861318736
CCCCCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,-0.06635491,5.485,1069.9394,1.19047523,-123.64180485747318,,-116.17068748052851,-455.0131533577827
CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,-0.19959643,2.613,514.232258,2.74690152,-65.30692214341316,-67.43434268027198,-31.815360091550655,-495.5404702034343
CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c2)cc(OCCCCCCCCCCC)c1,-0.19463938,11.041,1276.870907,1.41109119,-147.87659441887706,,-178.44606699336563,-507.5464597941719
CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCN1CCN(C)CC1,-0.19162455,4.166,482.915765,2.91957256,-45.14954489748552,-44.52562944811625,-30.679717174043073,-469.45796952716057
CCCCCCCCCCCCOC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCC,-0.16337715,3.939,509.112172,2.46876473,-66.75703996234287,-62.387551746321456,-25.27256769283188,-495.9304619140128
CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,-0.19840401,5.463,504.909793,2.82194702,-42.678331804793665,-44.52562944811625,-22.14605353997842,-529.838999288053
CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,-0.19808263,4.274,540.119097,2.80290808,-37.560882774484035,-44.52562944811625,-21.127002249160878,-520.5364866352212
CCCCCCCCCCCOC1=CC2=CC(OCC(CC)CCCC)=CCCCCCN3C=CC=CC=C4CCCCCN1CCCC(=O)OCCOCCOCCOc1cc(cc(c1OCCOCCOCCOC4)OCCOCCOCCOC(=O)CCC3)C(=O)OC2,-0.07860885,3.518,953.132625,1.19090098,-119.48443326936437,,-116.17068748052851,-501.530652560777
CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCOCCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,-0.19581438,4.416,542.67586,2.70653089,-64.42822453716046,-50.87054969109374,-31.815360091550655,-455.75236277019184
CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c2)cc(OCCCCCCCCCCC)c1,-0.17575815,14.767,1253.655499,1.75094693,-141.22179207142975,,-144.9145769868337,-466.21936326056976
CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCN1CCN(CCO)CC1,-0.19322054,5.5,499.135115,2.77388585,-61.84444266602669,-67.43434268027198,-30.679717174043073,-513.5911212683756
CCCCCCCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCCCC,-0.18798879,3.95,539.809194,2.83623814,-41.55034101351577,-36.61915983241686,-25.89690891159477,-492.7656321862046
CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,-0.20252823,1.505,563.381713,2.87300297,-36.83957533375214,-44.52562944811625,-21.56955323762337,-459.3032197042461
CCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,-0.09701928,6.031,1022.986217,1.49971174,-126.08980371853475,,-116.17068748052851,-468.4805747911066
CCCCC(CC)COc1cc(C(=O)OCCCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,-0.19856509,5.328,514.171945,1.68093269,-44.78567917372767,-22.428724564892438,-60.77267581709246,-501.3622005064574
CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,-0.18146299,14.59,1114.102259,2.22206736,-154.49323018844817,,-144.73783195332166,-509.3547726438075
CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,-0.19080492,4.228,762.516262,3.22650049,-49.36749956855337,-44.52562944811625,-33.41132994781353,-472.8446014611719
