iajd_num,smiles,log10_flux_spleen,log10_flux_liver,log10_flux_total,flux_total_SEM,n_replicates,n_mice,pKa,pKa_paper,pKa_sd,audit_status,family,c0_nm_inv,c0_trusted
235,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCC)c1,,,7.866877814337498,,1.0,1.0,6.24,6.24,,,sSS-Nonsym,,
236,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,8.576341350205793,,1.0,1.0,6.34,6.34,,,sSS-Nonsym,,
237,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,8.164352855784436,,1.0,1.0,6.26,6.26,,,sSS-Nonsym,,
238,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,7.117271295655764,,1.0,1.0,6.25,6.25,,,sSS-Nonsym,,
239,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,8.489958479424836,,1.0,1.0,6.22,6.22,,,sSS-Nonsym,,
240,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,,,7.775974331129369,,1.0,1.0,6.29,6.29,,,sSS-Nonsym,,
241,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,,,8.071882007306126,,1.0,1.0,6.33,6.33,,,sSS-Nonsym,,
242,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCCCC)c1,,,8.176091259055681,,1.0,1.0,6.31,6.31,,,sSS-Nonsym,,
243,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCCCC)c1,,,8.146128035678238,,1.0,1.0,6.34,6.34,,,sSS-Nonsym,,
244,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,7.964259630196849,,1.0,1.0,6.3,6.3,,,sSS-Nonsym,,
245,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.780317312140151,,1.0,1.0,6.4,6.4,,,sSS-Nonsym,,
246,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,8.146128035678238,,1.0,1.0,6.32,6.32,,,sSS-Nonsym,,
247,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,7.549003262025788,,1.0,1.0,6.39,6.39,,,sSS-Nonsym,,
248,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,5.857332496431268,5.662757831681574,6.301029995663981,,1.0,,6.46,6.46,,SMILES_aligned_to_pKa_file_grid_consistent_CONFIRM_VS_PAPER; features_FILLED_RDKit2D+3D,PE-Tris,,
249,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,8.01843725841121,8.044265747690373,8.707996241115005,,1.0,,6.35,6.37,,,PE-Tris,,
250,CCCCCCCCCCCOCC(COCCCCCCCCCCC)(COCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,,,5.698970004336019,,1.0,,6.35,6.35,,features_FILLED_RDKit2D+3D,PE-Tris,,
251,CCCCCCCCCCCOCC(COCCCCCCCCCCC)(COCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,6.866877814337498,6.824125833916549,7.457881896733992,,1.0,,6.56,6.56,,features_FILLED_RDKit2D+3D,PE-Tris,,
253,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCOCCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,6.342422680822207,,7.260930846917137,,2.5,,6.37,6.31,0.06,,GA-Tris,,
263,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,,,6.830588668685144,,1.0,1.0,6.48,6.48,,,sSS-Nonsym,,
264,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,,,6.90200289135073,,1.0,1.0,6.54,6.54,,,sSS-Nonsym,,
265,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCCCC)c1,,,8.267171728403014,,1.0,1.0,6.54,6.54,,,sSS-Nonsym,,
266,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCCCC)c1,,,8.369215857410143,,1.0,1.0,6.52,6.54,,,sSS-Nonsym,,
267,CCCCCCCCCOC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCC,,,7.303196057420489,,1.0,1.0,6.52,6.52,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
268,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,,,6.737192642704737,,1.0,1.0,6.5,6.45,,,sSS-Nonsym,,
269,CCCCCCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCCC,,,6.460897842756548,,1.0,1.0,6.5,6.5,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
270,CCCCCCCCCCCCCOC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCCC,,,7.235528446907549,,1.0,1.0,6.5,6.5,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
271,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCC)c1,,,7.488550716500444,,1.0,1.0,6.45,6.45,,,sSS-Nonsym,,
272,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCCC)c1,,,7.41161970596323,,1.0,1.0,6.48,6.48,,,sSS-Nonsym,,
273,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,5.209515014542631,6.802089257881732,7.426511261364575,,1.0,,6.26,6.21,,SMILES_aligned_to_pKa_file_grid_consistent_CONFIRM_VS_PAPER; SMILES_RECONSTRUCTED:10118-vector-resolved: C12+methoxyethyl-piperazine+pentanoate (C53H106N2O6); image-SI not text-verified; features_REGENERATED_RDKit2D+3D,PE-Tris,,
274,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,,,5.698970004336019,,1.0,,6.21,6.21,,features_FILLED_RDKit2D+3D,PE-Tris,,
275,CCCCCCCCCOCC(COCCCCCCCCC)(COCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,,,5.698970004336019,,1.0,,6.45,6.45,,features_FILLED_RDKit2D+3D,PE-Tris,,
276,CCCCCCCCCOCC(COCCCCCCCCC)(COCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,7.100370545117562,7.164352855784437,7.785329835010767,,1.0,,6.44,6.44,,features_FILLED_RDKit2D+3D,PE-Tris,,
277,CCCCCCCCCCOCC(COCCCCCCCCCC)(COCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,,,5.698970004336019,,1.0,,6.45,6.45,,features_FILLED_RDKit2D+3D,PE-Tris,,
278,CCCCCCCCCCOCC(COCCCCCCCCCC)(COCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,7.380211241711606,7.361727836017593,7.826722520168993,,1.0,,6.57,6.57,,features_FILLED_RDKit2D+3D,PE-Tris,,
279,CCCCCCCCCCCCCOCC(COCCCCCCCCCCCCC)(COCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,,,5.973127853599698,,1.0,,6.1,6.1,,features_FILLED_RDKit2D+3D,PE-Tris,,
280,CCCCCCCCCCCCCOCC(COCCCCCCCCCCCCC)(COCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,5.54282542695918,5.928907690243952,7.041392685158225,,1.0,,6.26,6.26,,features_FILLED_RDKit2D+3D,PE-Tris,,
282,CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,,,,,,,,,,features_FILLED_RDKit2D+3D,PE-Tris,,
283,CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,5.627365856592733,6.296665190261531,7.190331698170292,,1.0,,6.09,6.09,,features_FILLED_RDKit2D+3D,PE-Tris,,
284,CCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,,,5.698970004336019,,1.0,,6.31,6.31,,features_FILLED_RDKit2D+3D,PE-Tris,,
285,CCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,,,5.698970004336019,,1.0,,6.5,6.5,,features_FILLED_RDKit2D+3D,PE-Tris,,
287,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,,,5.698970004336019,,1.0,,6.3,6.3,,SMILES_RECONSTRUCTED:10118-vector-resolved: C8+methoxyethyl-piperazine+pentanoate (C41H82N2O6); image-SI not text-verified; features_REGENERATED_RDKit2D+3D,PE-Tris,,
288,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,7.961280262427479,7.771274950466679,8.473637242890282,,1.0,,6.31,6.48,0.1,,PE-Tris,,
289,CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(C)CC1,,,5.698970004336019,,1.0,,6.46,6.46,,features_FILLED_RDKit2D+3D,PE-Tris,,
290,CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,7.471291711058939,5.77451696572855,7.781755374652469,,1.0,,6.5,6.5,,features_FILLED_RDKit2D+3D,PE-Tris,,
291,CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,,,5.698970004336019,,1.0,,6.42,6.42,,SMILES_RECONSTRUCTED:10118-vector-resolved: C7+methoxyethyl-piperazine+pentanoate (C38H76N2O6); image-SI not text-verified; features_REGENERATED_RDKit2D+3D,PE-Tris,,
292,CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,,,5.698970004336019,,1.0,,6.48,6.48,,features_FILLED_RDKit2D+3D,PE-Tris,,
294,CCCCC(CC)COc1cc(OCC(CC)CCCC)cc(C(=O)OCCCCN2CCN(CCO)CC2)c1,7.472756449317212,,7.773786444981194,,1.0,,6.34,6.34,,SMILES_RECONSTRUCTED:ja3c13569 isomer head-group fix (10118-vector validated); features_REGENERATED_RDKit2D+3D,Dialkoxybenzyl,,
297,CCCCC(CC)COc1ccc(C(=O)OCCCCN2CCN(CCO)CC2)cc1OCC(CC)CCCC,6.320146286111054,6.0,6.734799829588847,,1.0,,5.67,5.67,,SMILES_aligned_to_pKa_file_grid_consistent_CONFIRM_VS_PAPER; SMILES_RECONSTRUCTED:head=HPRZ (10118 HBD=1 confirms bioact-file; reverts round-2 MPRZ over-alignment); features_REGENERATED_RDKit2D+3D,Dialkoxybenzyl,,
299,CCCCCCOCC(COCCCCCC)(COCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,5.69284691927723,5.776701183988411,6.079181246047625,,1.0,,,6.48,,features_FILLED_RDKit2D+3D,PE-Tris,,
300,CCCCC(CC)COc1cc(C(=O)OCCCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,6.596597095626461,,6.711807229041191,,1.0,,,6.46,,features_FILLED_RDKit2D+3D,GA-Tris,,
301,CCCCC(CC)COc1cc(CNC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,7.580924975675619,7.488550716500444,8.176091259055681,,1.0,,6.37,6.37,,,GA-Tris,,
308,CCCCCCCCCCCCCCCCCCOc1cc(OCCCCCCCCCCCCC)cc(C(=O)OCCCCN2CCN(CCO)CC2)c1,7.113943352306837,,7.600972895686748,,1.0,,5.94,5.94,,SMILES_RECONSTRUCTED:ja3c13569 isomer head-group fix (10118-vector validated); features_REGENERATED_RDKit2D+3D,Dialkoxybenzyl,,
309,CCCCCCCCCCCCCCCCCCOc1cc(OCCCCCCCCCCCCC)cc(C(=O)OCCCCN2CCN(CCOCCO)CC2)c1,7.342422680822207,6.690196080028514,7.444044795918076,,1.0,,6.24,6.24,,SMILES_RECONSTRUCTED:ja3c13569 isomer head-group fix (10118-vector validated); features_REGENERATED_RDKit2D+3D,Dialkoxybenzyl,,
310,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCOCCO)CC2)ccc1OCCCCCCCCCCCCC,,,,,1.0,,5.71,5.71,,SMILES_RECONSTRUCTED:ja3c13569 isomer head-group fix (10118-vector validated); features_REGENERATED_RDKit2D+3D,Dialkoxybenzyl,,
312,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,8.376576957056512,7.725094521081469,8.550228353055093,,1.0,,6.28,6.28,,,PE-Tris,,
313,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCN1CCN(CCO)CC1,7.686636269262293,8.03342375548695,8.870988813760576,,1.0,,6.05,6.03,0.03,,PE-Tris,,
314,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCN1CCN(CCOCCO)CC1,8.701567985055927,8.15836249209525,8.925827574624742,,1.0,,6.0,5.99,0.01,,PE-Tris,,
317,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCN1CCN(CCO)CC1,8.645422269349092,8.164352855784436,8.936010795715209,,1.0,,6.04,6.04,,,PE-Tris,,
318,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCN1CCN(CCOCCO)CC1,8.736396502276643,7.741939077729199,8.711807229041192,,1.0,,5.98,5.98,,,PE-Tris,,
319,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCCN1CCN(CCO)CC1,8.787460474518415,7.82865989653532,8.419955748489757,,1.0,,6.38,6.38,,,PE-Tris,,
320,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCCN1CCN(CCOCCO)CC1,8.281033367247728,7.569373909615046,8.340444114840118,,1.0,,6.13,6.13,,,PE-Tris,,
321,CCCCC(CC)COc1cc(COC(=O)CCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,,,8.708666666666666,,3.0,,6.44,,0.02,,GA-Tris,,
322,CCCCC(CC)COc1cc(COC(=O)CCN2CCN(CCOCCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,,,8.843375,,8.0,,6.24,,0.04,,GA-Tris,,
323,CCCCC(CC)COc1cc(COC(=O)CCCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,,,8.3245,,4.0,,6.51,,0.06,,GA-Tris,,
324,CCCCC(CC)COc1cc(COC(=O)CCCCN2CCN(CCOCCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,,,7.844142857142857,,7.0,,6.51,,0.04,,GA-Tris,,
325,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCCN1CCN(CCO)CC1,8.545307116465825,7.706717782336758,8.440909082065218,,1.0,,6.36,6.27,0.08,,PE-Tris,,
326,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCCN1CCN(CCOCCO)CC1,8.369215857410143,8.619093330626743,8.457881896733992,,1.0,,6.33,6.28,0.06,,PE-Tris,,
329,CCCCC(CC)COc1cc(COC(=O)CN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,,,8.3605,,4.0,,6.06,,0.05,,GA-Tris,,
330,CCCCC(CC)COc1cc(COC(=O)CN2CCN(CCOCCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,,,8.96790909090909,,11.0,,6.22,,0.04,,GA-Tris,,
331,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CN1CCN(CCO)CC1,8.26245108973043,7.724275869600789,8.778151250383644,,1.0,,5.97,5.97,,,PE-Tris,,
332,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CN1CCN(CCOCCO)CC1,8.170261715394957,7.56466606425209,8.51321760006794,,1.0,,5.93,5.93,,,PE-Tris,,
333,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CN1CCN(CCO)CC1,8.260071387985075,7.631443769013172,8.342422680822207,,1.0,,5.92,5.83,0.08,,PE-Tris,,
334,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CN1CCN(CCOCCO)CC1,8.588831725594208,8.20682587603185,8.875639937004168,,1.0,,5.87,5.91,0.04,,PE-Tris,,
347,CCCCC(CC)CCOc1cc(COC(=O)CCCN2CCN(CCOCCO)CC2)cc(OCCC(CC)CCCC)c1OCCC(CC)CCC,8.695700519771172,7.703291378118661,8.627109711211139,,,,,,,,GA-Tris,,
348,CCCCC(CC)CCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCC(CC)CCCC)c1OCCC(CC)CCC,9.027349607774756,7.82052984852352,9.103803720955957,,,,,,,,GA-Tris,,
365,CCCCC(CC)CCOc1cc(COC(=O)CCN2CCN(CCOCCO)CC2)cc(OCCC(CC)CCCC)c1OCCC(CC)CCCC,8.455606112581867,7.960708551688557,8.828015064223976,,,,,,,,GA-Tris,,
366,CCCCC(CC)CCOc1cc(COC(=O)CCN2CCN(CCO)CC2)cc(OCCC(CC)CCCC)c1OCCC(CC)CCC,9.043833654133147,8.164352855784436,9.038779069555538,,,,,,,,GA-Tris,,
367,CCCCC(CC)CCOc1cc(COC(=O)CN2CCN(CCO)CC2)cc(OCCC(CC)CCCC)c1OCCC(CC)CCC,8.739440480328264,7.906514613642218,8.753583058892907,,,,,,,,GA-Tris,,
369,CCCCC(CC)CCOc1cc(COC(=O)CN2CCN(CCOCCO)CC2)cc(OCCC(CC)CCCC)c1OCCC(CC)CCCC,9.163608563431051,8.473304455045323,9.39291668232173,,,,,,,,GA-Tris,0.726357537325039,False
372,CCCCC(CC)CCOc1cc(COC(=O)CCCCN2CCN(CCO)CC2)cc(OCCC(CC)CCCC)c1OCCC(CC)CCCC,8.380211241711606,7.127104798364807,8.38201704257487,,,,,,,,GA-Tris,,
373,CCCCC(CC)CCOc1cc(COC(=O)CCCCN2CCN(CCOCCO)CC2)cc(OCCC(CC)CCCC)c1OCCC(CC)CCCC,8.904895787855207,7.781755374652469,8.835056101720117,,,,,,,,GA-Tris,,
